,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Liberia,45.42,56.96,69.99,73.40,65.21,59.08,56.53,55.08,45.58,44.75,35.63,37.23,25.12,26.45,22.53,7.73,8.54,10.09,12.50
Libya,,,,,,,,309.88,399.02,355.19,321.21,275.48,234.78,212.06,201.77,189.69,180.99,253.91,244.68
Lithuania,1249.25,1083.30,988.53,920.20,1021.23,958.93,896.94,925.47,805.22,864.74,936.51,704.29,536.06,438.93,366.96,338.86,254.37,218.82,217.18
Luxembourg,6227.08,5713.12,5475.14,5421.93,6547.03,6356.64,6029.48,7174.74,7459.84,7670.59,7578.75,6671.27,6070.74,5818.15,5610.35,4607.40,3600.87,3109.20,2901.20
Madagascar,22.05,24.68,24.48,22.91,23.00,19.53,19.58,23.59,21.96,20.84,22.20,19.67,17.20,16.50,15.04,17.46,15.13,15.53,12.87
Malawi,35.50,34.00,30.94,35.68,36.06,40.35,33.20,40.09,34.66,36.24,33.33,25.46,21.31,17.53,16.20,12.50,11.27,7.74,9.09
Malaysia,427.22,380.69,362.11,379.90,427.66,391.90,382.66,352.27,292.00,250.26,268.39,233.86,203.21,163.93,154.93,142.75,121.81,114.61,111.34
Maldives,973.54,885.08,946.81,785.03,672.12,645.06,630.14,577.66,600.64,669.81,758.71,462.99,387.12,321.32,294.95,235.62,247.30,230.17,221.92
Mali,34.95,34.00,29.44,30.88,37.97,31.93,29.22,33.59,33.20,36.55,35.03,31.35,28.51,25.40,22.97,19.83,16.74,13.90,14.75
Malta,2753.51,2551.72,2321.15,2243.47,2456.43,2121.08,1898.60,1960.06,1733.67,1677.36,1751.17,1596.12,1474.48,1379.69,1223.86,1074.09,830.65,685.98,647.10
Marshall Islands,643.07,587.55,605.28,546.99,476.26,492.97,471.89,453.56,449.41,437.65,461.63,476.06,562.33,543.76,421.24,351.06,361.07,386.68,430.92
Mauritania,54.49,51.61,47.35,55.99,58.05,54.27,48.09,46.50,42.48,43.23,47.61,39.04,34.05,33.06,30.72,28.95,25.61,23.09,22.87
Mauritius,653.35,599.44,553.21,529.16,559.44,452.46,398.12,396.61,367.12,310.16,321.82,235.85,209.15,197.68,189.93,162.00,135.94,119.47,118.98
Mexico,519.61,512.07,490.80,556.87,614.97,637.16,598.35,581.71,553.98,490.57,570.83,556.04,512.83,483.10,445.62,411.42,385.10,363.67,318.46
Micronesia (Federated States of),415.82,401.20,395.79,361.47,348.32,363.26,384.15,393.68,378.24,341.32,304.58,272.11,257.90,417.72,270.72,219.36,178.56,190.07,168.46
Monaco,2968.50,2751.73,2765.08,3365.93,3947.42,3817.90,3519.94,3677.42,3509.36,3523.19,3573.52,3039.03,2706.68,2628.19,2570.39,2214.74,1560.76,1431.10,1408.09
Mongolia,155.09,146.96,161.91,166.08,174.24,177.58,167.76,134.75,98.84,76.46,97.36,66.54,50.03,37.51,33.17,26.51,29.66,26.49,27.01
Montenegro,731.48,,,,,,,,,,,,,,,,,,
Morocco,174.78,161.45,154.11,148.04,170.74,180.20,169.96,177.28,169.01,169.95,155.54,137.54,110.10,97.53,93.63,79.60,63.52,55.95,53.69
Mozambique,40.26,35.95,30.72,39.62,42.45,40.74,34.50,29.33,25.18,26.95,24.30,19.75,17.80,18.24,14.07,11.54,10.28,8.87,7.11
Myanmar,59.21,57.86,57.94,61.70,52.62,36.53,36.11,26.56,19.60,18.11,14.25,9.61,8.21,7.42,6.80,6.37,6.86,4.48,4.34
Namibia,471.49,468.04,423.87,488.69,459.94,488.86,550.50,562.59,517.24,383.66,412.71,469.61,416.17,386.44,358.16,263.33,179.55,188.20,213.27
Nauru,965.80,1217.51,1369.54,1143.25,1007.97,838.44,886.14,697.90,651.53,566.48,819.06,598.22,371.06,335.61,219.69,275.38,298.31,346.13,456.17
Nepal,57.85,50.83,48.32,47.89,43.17,36.02,34.33,34.68,29.98,21.09,19.09,17.40,13.94,14.46,13.23,11.34,10.72,10.52,8.55
Netherlands,5306.53,4910.90,4734.83,4676.58,5601.89,5532.73,5284.65,5562.12,5191.69,5282.74,5382.45,4696.14,4080.22,3823.48,3689.46,3244.36,2544.81,2175.73,2028.18
New Zealand,4037.46,3940.39,3746.48,3582.27,4143.79,3954.67,3805.97,3625.77,3216.22,2700.98,2839.18,2699.41,2301.89,2295.18,1983.66,1610.94,1246.31,1049.38,1053.89
Nicaragua,173.77,180.33,169.63,163.23,154.28,138.39,131.83,123.35,115.95,111.01,107.45,92.38,77.99,72.35,65.41,61.18,57.38,57.05,52.80
Niger,30.36,28.80,22.56,25.88,25.03,24.63,22.77,24.90,23.86,27.06,26.18,22.24,21.35,20.27,16.09,14.61,12.43,11.08,10.58
Nigeria,83.75,73.93,79.37,97.80,107.91,102.55,92.61,84.46,76.76,69.00,81.24,70.07,66.55,54.56,44.63,39.44,18.20,18.60,17.73
Niue,1556.27,1417.96,1193.22,1284.86,1829.03,1533.31,1459.47,2570.90,1693.77,2517.89,2279.51,2261.50,4009.99,997.62,1192.46,563.99,465.15,1453.68,317.82
Norway,8239.10,7815.79,7496.77,7565.55,9118.32,9241.27,8970.12,8900.37,7859.52,7301.96,7768.05,6895.56,5892.99,5584.69,5097.34,4632.57,3889.96,3099.00,2948.93
Oman,678.23,601.22,637.19,695.19,710.04,584.14,559.02,533.03,529.08,476.12,445.50,384.21,333.24,320.21,301.33,287.66,274.38,261.32,263.52
Pakistan,42.87,42.26,38.91,35.98,34.70,29.98,27.04,27.07,25.26,24.05,25.73,28.45,24.99,19.88,15.63,14.45,15.19,13.59,15.58
Palau,1723.46,1947.85,2031.47,1805.99,1678.01,1535.45,1392.05,1176.58,1183.17,1037.09,1000.25,1003.28,934.91,873.77,828.78,701.32,665.67,639.46,678.14
Panama,1131.66,1046.34,1050.24,928.10,885.66,790.78,703.83,617.00,572.61,530.07,489.82,427.23,350.74,304.48,326.21,286.99,291.95,281.00,285.20
